sample_year,analysis_value,,,,,,
1977,336.34,,,,,,
1977,336.76,,,,,,
1977,337.62,,,,,,
1977,337.43,,,,,,
1977,335.76,,,,,,
1977,341.49,,,,,,
1977,335.73,,,,,,
1977,335.82,,,,,,
1977,335.32,,,,,,
1977,335.32,,,,,,
1977,337.14,,,,,,
1977,334.86,,,,,,
1977,335.43,,,,,,
1977,335.39,,,,,,
1977,335.37,,,,,,
1977,334.35,,,,,,
1977,334.39,,,,,,
1977,336.15,,,,,,
1977,331.61,,,,,,
1977,331.26,,,,,,
1977,332.05,,,,,,
1977,331.73,,,,,,
1977,330.98,,,,,,
1977,330.83,,,,,,
1977,331.12,,,,,,
1977,331.05,,,,,,
1977,330.56,,,,,,
1977,330.23,,,,,,
1977,331.01,,,,,,
1977,331.07,,,,,,
1977,330.48,,,,,,
1977,330.47,,,,,,
1977,332.38,,,,,,
1977,331.24,,,,,,
1977,330.18,,,,,,
1977,330.29,,,,,,
1977,330.04,,,,,,
1977,329.76,,,,,,
1977,331.76,,,,,,
1977,352.98,,,,,,
1977,331.5,,,,,,
1977,331.04,,,,,,
1977,332.5,,,,,,
1977,332.1,,,,,,
1977,332.19,,,,,,
1977,331.98,,,,,,
1977,332.32,,,,,,
1977,331.9,,,,,,
1977,333.36,,,,,,
1977,333.4,,,,,,
1977,333.32,,,,,,
1977,333.24,,,,,,
1977,334.39,,,,,,
1977,333.87,,,,,,
1977,335,,,,,,
1977,334.83,,,,,,
1978,335.16,,,,,,
1978,334.54,,,,,,
1978,333.8,,,,,,
1978,334.17,,,,,,
1978,336.42,,,,,,
1978,335.76,,,,,,
1978,336.13,,,,,,
1978,336.29,,,,,,
1978,334.73,,,,,,
1978,335.31,,,,,,
1978,335.89,,,,,,
1978,335.57,,,,,,
1978,336.3,,,,,,
1978,336.23,,,,,,
1978,335.5,,,,,,
1978,335.95,,,,,,
1978,336.04,,,,,,
1978,336.5,,,,,,
1978,337.01,,,,,,
1978,337.39,,,,,,
1978,337.66,,,,,,
1978,338.36,,,,,,
1978,337.88,,,,,,
1978,337.95,,,,,,
1978,338.17,,,,,,
1978,337.94,,,,,,
1978,336.63,,,,,,
1978,336.94,,,,,,
1978,338.34,,,,,,
1978,337.95,,,,,,
1978,337.68,,,,,,
1978,338.29,,,,,,
1978,338.06,,,,,,
1978,338.25,,,,,,
1978,346.71,,,,,,
1978,342.56,,,,,,
1978,339.46,,,,,,
1978,339.47,,,,,,
1978,341.2,,,,,,
1978,336.17,,,,,,
1978,337.36,,,,,,
1978,337.31,,,,,,
1978,337.65,,,,,,
1978,337.46,,,,,,
1978,337.41,,,,,,
1978,337.77,,,,,,
1978,336.23,,,,,,
1978,336.27,,,,,,
1978,335.55,,,,,,
1978,-999.99,,,,,,
1978,334.71,,,,,,
1978,334.93,,,,,,
1978,335.72,,,,,,
1978,349.69,,,,,,
1978,332.55,,,,,,
1978,332.2,,,,,,
1978,334.13,,,,,,
1978,332.37,,,,,,
1978,333.47,,,,,,
