sample_year,analysis_value,,,,,,
1992,127.4,,,,,,
1992,127.56,,,,,,
1992,126.81,,,,,,
1992,126.61,,,,,,
1992,149.09,,,,,,
1992,148.32,,,,,,
1992,129.14,,,,,,
1992,142.49,,,,,,
1992,151.11,,,,,,
1992,136.67,,,,,,
1992,136.16,,,,,,
1992,155.76,,,,,,
1992,156.16,,,,,,
1992,126.3,,,,,,
1992,144.14,,,,,,
1992,145.99,,,,,,
1992,134.45,,,,,,
1992,132.65,,,,,,
1992,88.26,,,,,,
1992,87.66,,,,,,
1992,94.01,,,,,,
1992,95.29,,,,,,
1992,108.82,,,,,,
1992,107.43,,,,,,
1992,105.95,,,,,,
1992,106.45,,,,,,
1992,99.92,,,,,,
1992,105.24,,,,,,
1992,101.2,,,,,,
1992,83.31,,,,,,
1992,85.16,,,,,,
1992,78.76,,,,,,
1992,78.9,,,,,,
1992,98.04,,,,,,
1992,98.41,,,,,,
1992,85.28,,,,,,
1992,85.47,,,,,,
1992,69.16,,,,,,
1992,70.44,,,,,,
1992,79.94,,,,,,
1992,131.41,,,,,,
1992,71.54,,,,,,
1992,71.12,,,,,,
1992,71.67,,,,,,
1992,75.66,,,,,,
1992,76.52,,,,,,
1992,71.48,,,,,,
1992,72.45,,,,,,
1992,72.32,,,,,,
1992,70.73,,,,,,
1992,85.77,,,,,,
1992,87.14,,,,,,
1992,71.54,,,,,,
1992,71.41,,,,,,
1992,77.67,,,,,,
1992,78.76,,,,,,
1992,72.45,,,,,,
1992,73.32,,,,,,
1992,69.96,,,,,,
1992,68.76,,,,,,
1992,56.94,,,,,,
1992,-999.99,,,,,,
1992,95.57,,,,,,
1992,94.8,,,,,,
1992,73.67,,,,,,
1992,72.63,,,,,,
1992,128.1,,,,,,
1992,129.28,,,,,,
1992,84.59,,,,,,
1992,84.9,,,,,,
1992,98.23,,,,,,
1992,98.24,,,,,,
1992,91.48,,,,,,
1992,91.49,,,,,,
1992,115.53,,,,,,
1992,115.45,,,,,,
1992,92.59,,,,,,
1992,92.71,,,,,,
1992,102.98,,,,,,
1992,103.51,,,,,,
1993,106.61,,,,,,
1993,107.36,,,,,,
1993,135.08,,,,,,
1993,137.46,,,,,,
1993,90.74,,,,,,
1993,91.77,,,,,,
1993,109.72,,,,,,
1993,110.13,,,,,,
1993,93.31,,,,,,
1993,92.48,,,,,,
1993,95.41,,,,,,
1993,95.57,,,,,,
1993,108.09,,,,,,
1993,94.9,,,,,,
1993,96.43,,,,,,
1993,100.3,,,,,,
1993,99.3,,,,,,
1993,136.52,,,,,,
1993,135.56,,,,,,
1993,127.55,,,,,,
1993,129.07,,,,,,
1993,113.66,,,,,,
1993,115.82,,,,,,
1993,100.64,,,,,,
1993,98.68,,,,,,
1993,107.99,,,,,,
1993,108.73,,,,,,
1993,89.95,,,,,,
